"Path","Bytes","SHA256"
"test-vectors/invalid/cbor-v1/duplicate-candidate-id/input.json","169","A046850EB22F65558233B5519821347EB282F0025182A1D155144A88AA884DB3"
"test-vectors/invalid/cbor-v1/duplicate-candidate-id/invalid.cbor","11","909899632DBDF1369CEC2E1921C0049422E878EEEAC5446610C5F7053C5CFDDE"
"test-vectors/invalid/cbor-v1/duplicate-candidate-id/invalid.hex","23","5D85D462C82D3D2A6DFAD344581F435358FA6ADD595BC9946CFCC4D6537AFC02"
"test-vectors/invalid/cbor-v1/duplicate-registry-key/description.md","202","F2ADE3DC7833DE0B8A1272DB78AAA1AF640749356FB85A6A3FEBC7ABEB03670E"
"test-vectors/invalid/cbor-v1/duplicate-registry-key/expected.json","202","F7C42EB4D9C405D667949A6564D8E0519854BAC68C3A8D5D0F6330509E462BD6"
"test-vectors/invalid/cbor-v1/duplicate-registry-key/input.json","172","2089FD5D8A936D7AE7EE5F56883C51FDD269D2D37B3F39B96A3110AC2F1E7656"
"test-vectors/invalid/cbor-v1/duplicate-registry-key/invalid.cbor","5","9E651BBD964F83C64880965A1025807B1A3FEB77C216DFD2BA3B2AF83A7EB42B"
"test-vectors/invalid/cbor-v1/duplicate-registry-key/invalid.hex","11","01E247FD6D79A96A3796BCCD6FEC193BDD664F19BC46C1A1B466F43960AB5219"
"test-vectors/invalid/cbor-v1/empty-candidate-set/description.md","174","27F6F88B6607395938AD46F36983FA411652362F67196255E7DE00BFA4CBE0FC"
"test-vectors/invalid/cbor-v1/empty-candidate-set/expected.json","190","CD254C2069EAD64703BF90AAFFA1E1708639C8051706AE7D6F5E721371A6E0F2"
"test-vectors/invalid/cbor-v1/empty-candidate-set/input.json","165","AB06431267396CFABBC5521200AE91A896E4FE2996794842F00C5C0B83F81CBE"
"test-vectors/invalid/cbor-v1/empty-candidate-set/invalid.cbor","1","76BE8B528D0075F7AAE98D6FA57A6D3C83AE480A8469E668D7B0AF968995AC71"
"test-vectors/invalid/cbor-v1/empty-candidate-set/invalid.hex","3","95AEBC97BC646C67FDCD923A5965B001F3C8A5C4D3A77075112E12A3A311D760"
"test-vectors/invalid/cbor-v1/empty-registry/description.md","186","8E665AA0DC0309F524E01292A0BC4BF252851BCB62CC3398391EA39A1C11DC9B"
"test-vectors/invalid/cbor-v1/empty-registry/expected.json","184","96BBD80E5709410E38FDDE7DFE10930F4A57D53A76F1A1BC0347CF2A905DE59A"
